,X,Y,Z,formation
1,0.0,0.0,47.0,Layer1
2,0.0,0.0,29.0,Layer2
3,0.0,0.0,14.0,Layer3
5,0.0,0.0,65.0,Layer5
6,20.0,0.0,60.0,Layer1
7,20.0,0.0,42.0,Layer2
8,20.0,0.0,28.0,Layer3
10,20.0,0.0,71.0,Layer5
11,40.0,0.0,59.0,Layer2
12,40.0,0.0,45.0,Layer3
14,40.0,0.0,76.0,Layer5
15,60.0,0.0,72.0,Layer2
16,60.0,0.0,58.0,Layer3
18,60.0,0.0,82.0,Layer5
19,80.0,0.0,80.0,Layer2
20,80.0,0.0,66.0,Layer3
22,80.0,0.0,88.0,Layer5
23,100.0,0.0,78.0,Layer2
24,100.0,0.0,64.0,Layer3
26,100.0,0.0,94.0,Layer5
27,120.0,0.0,85.0,Layer1
28,120.0,0.0,67.0,Layer2
29,120.0,0.0,53.0,Layer3
31,120.0,0.0,99.0,Layer5
32,140.0,0.0,66.0,Layer1
33,140.0,0.0,48.0,Layer2
34,140.0,0.0,33.0,Layer3
36,160.0,0.0,43.0,Layer1
37,160.0,0.0,25.0,Layer2
38,160.0,0.0,11.0,Layer3
40,180.0,0.0,20.0,Layer1
41,180.0,0.0,2.0,Layer2
